Video name,Video link,Video post date,Creator username,GMV,Affiliate items sold ,Affiliate shoppable video GMV,Shoppable video avg. order value,Est. commission,Est. flat fee,Affiliate orders,Shoppable video impressions,Affiliate CTR,Shoppable video GPM,Affiliate items refunded,Affiliate refunded GMV,Shoppable video comments,Shoppable video likes
My lips feel so soft with @COLORGRAM OFFICIAL Matt lip tints🩷 #liptint #makeup #fypシ゚viral ,https://www.tiktok.com/@faatimaaxo/video/7515516198302321963,2025-06-13,faatimaaxo,90.93,5,90.93,30.31,0,--,3,3935,1.72%,21.42,0,0,1,5
,https://www.tiktok.com/@danyasol/video/7519751833628183821,2025-06-24,danyasol,39.96,2,39.96,19.98,0,--,2,510,2.21%,73.46,1,19.98,0,2
Here’s my summer beauty routine!!  I’ll have some of the items linked if i can find it on TikTok shop LOL but this has been my routine for the past couple months and honestly my skin is glowing :3 it’s not perfect yet but it’s getting there!! #skincareroutine #summerbeauty #summermakeup #koreanskincare ,https://www.tiktok.com/@melaurale/video/7507787925040532766,2025-05-23,melaurale,0,0,0,--,0,--,0,36,0.00%,0,0,0,0,2
shop my favs 😍 leaves my lips so plumped and glossy 😍😮‍💨 #liptint #lipgloss #makeup #fypシ゚viral ,https://www.tiktok.com/@faatimaaxo/video/7515261771381476654,2025-06-12,faatimaaxo,0,0,0,--,0,--,0,16,5.56%,0,0,0,0,2
ok lip combo 😍😍 #fypage #lipsync ,https://www.tiktok.com/@faatimaaxo/video/7515900818545986858,2025-06-14,faatimaaxo,0,0,0,--,0,--,0,5313,1.98%,0,0,0,0,9
Natural Lip liner I Love 💕 #overline #overlinedlips #lipliner #liplinerhack #foryoupage #fyp #fypシ ,https://www.tiktok.com/@lunas_journall/video/7515953027874917675,2025-06-14,lunas_journall,0,0,0,--,0,--,0,8,71.43%,0,0,0,0,0
These are such beautiful lip products! Perfect for the summer!! Thank you so much to Colorgram and 4am.kr for sending these products! 💗💗 #sunkissed #sunkissedlips #colorgram #colorgramgirls #fruityglasstint #nudeblurtint #glowymakeup #lipcombo @COLORGRAM OFFICIAL @4am.kr ,https://www.tiktok.com/@txsmiaaaa/video/7516024215179496747,2025-06-14,txsmiaaaa,0,0,0,--,0,--,0,188,1.20%,0,0,0,0,1
Thank u!!!! Review coming soon 🩵@COLORGRAM OFFICIAL - @4am.kr #sunkissedlips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain ,https://www.tiktok.com/@hannersworld/video/7516286428456684831,2025-06-15,hannersworld,0,0,0,--,0,--,0,41,0.00%,0,0,0,0,0
@COLORGRAM OFFICIAL #colorgram #fruityglasstint #koreanmakeup #lipgloss #kbeauty ,https://www.tiktok.com/@citygrlx3/video/7516396176258698542,2025-06-15,citygrlx3,0,0,0,--,0,--,0,18,0.00%,0,0,0,0,1
i’ve been obsessed with these @COLORGRAM OFFICIAL matt blur lip tints. I NEED ALL OF THEM i’ve been using them every day nonstop 😫😫😍😍😍😍😍😍😍😍😍,https://www.tiktok.com/@faatimaaxo/video/7516580388672687374,2025-06-16,faatimaaxo,0,0,0,--,0,--,0,64,10.53%,0,0,0,0,1
Lmk what you get 😅🤣#cachorrinhamadame #cachorrinha #cachorrinhaschallenge #trending #fypシ゚viral #fyp #lipgloss ,https://www.tiktok.com/@curly.head.barbs/video/7517046944846466335,2025-06-17,curly.head.barbs,0,0,0,--,0,--,0,11,12.50%,0,0,0,0,0
💖 Tu Brillo Favorito en Versión Fruta #Colorgram #FruityGlassStick #BrilloLabial #LabiosJugosos #GlassLips #labiosglossy💋 ,https://www.tiktok.com/@mariluna1050/video/7517081991716687117,2025-06-17,mariluna1050,0,0,0,--,0,--,0,2,0.00%,0,0,0,0,0
💖¡Cejas que hablan por ti! #Colorgram #SketchSculpt #CejasPerfectas #DefineTusCejas #CejasNaturales #CejasDeImpacto #maquillajecoreanoperu ,https://www.tiktok.com/@mariluna1050/video/7517123430924225805,2025-06-17,mariluna1050,0,0,0,--,0,--,0,25,0.00%,0,0,0,0,1
•	Dale vida a tus mejillas con un toque de cuento 💫 #RuborDúo #ColorgramGlow #LookNatural #CheeksOnPoint #MaquillajeKBeauty #MejillasDeEnsueño #ToqueCoreano #brillabonito💖💫 ,https://www.tiktok.com/@mariluna1050/video/7517414377104903438,2025-06-18,mariluna1050,0,0,0,--,0,--,0,0,0.00%,0,0,0,0,0
💫 El Brillo Que Todos Quieren #GlossFruity #LabiosConBrillo #EfectoCristal #GlossyVibes #MakeupLover #BrilloNatural #GlossAdicta #ColorTranslúcido #LabiosJugosos ,https://www.tiktok.com/@mariluna1050/video/7517454538085879053,2025-06-18,mariluna1050,0,0,0,--,0,--,0,5,0.00%,0,0,0,0,0
obsess with Colorgram products 💋💄@COLORGRAM OFFICIAL @4am.kr #sunkissedlips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain ,https://www.tiktok.com/@typicaltinnna/video/7517471027677367566,2025-06-18,typicaltinnna,0,0,0,--,0,--,0,10,0.00%,0,0,0,1,2
"Summed has arrived, and to enhance your beauty in this warm weather, why not try a stunning sun-kissed makeup look? 💕 Colorgram offers the ideal lip combination for your summer style! You won’t want to miss out on these! 🛍️ Shop below 🔗👇 @COLORGRAM OFFICIAL @4am.kr  #sunkissedlips #sunkissedmakeup #summervibes #islandgirlmakeup #glowup #glowymakeup #summermakeup #lipcombo #lipstain #colorgram #colorgramgirls #colorgramglowup #colorgramliptint #fruityglasstint #nudeblurtint #glosstostain #fypage #viraltiktok #makeup #beautytok #kbeauty #koreanbeauty #koreanmakeuplook  ",https://www.tiktok.com/@juliana.sutherland/video/7517472740010609950,2025-06-18,juliana.sutherland,0,0,0,--,0,--,0,43,0.00%,0,0,0,0,1
